Justificativa,Justificativa_processada,Classificacao
Atividades transferência 2,atividades transferencia 2,
Desarme da reversão bateria 3,desarme da reversao bateria 3,
Instalação paineis bateria,instalacao paineis bateria,
Atividade OM cdq,atividade om cdq,
Atividade descarga 501 cdq,atividade descarga 501 cdq,
Atendimento ao turno eletrico,atendimento ao turno eletrico,
Atendimento ao turno ICCT,atendimento ao turno icct,
Atividade barramento guia de coque e ponte RP,atividade barramento guia de coque e ponte rp,
Atendimento de falha bateria 3,atendimento de falha bateria 3,
Atendimento sinistro guia 1,atendimento sinistro guia 1,
Preventiva CC4,preventiva cc4,
Reparo barramento guia de coque,reparo barramento guia de coque,
Atividade guia de coque 2,atividade guia de coque 2,
Bloqueio e desbloqueio da C5611 para CSV grampear,bloqueio e desbloqueio da c5611 para csv grampear,
Testar ST0802,testar st0802,
Desimpedimento da Rota Coque BCs,desimpedimento da rota coque bcs,
Curto na resistência do Precipitador 2,curto na resistencia do precipitador 2,
Desbloqueio da BC331,desbloqueio da bc331,
Turno extra pátio de carvão,turno extra patio de carvao,
Desligamento dos cabos da cabine da RE1201,desligamento dos cabos da cabine da re1201,
Emenda de cabo da RE1201,emenda de cabo da re1201,
Ligação elétrica na reforma da cabine,ligacao eletrica na reforma da cabine,
Bandejamento no tratamento de gás,bandejamento no tratamento de gas,
Bandejamento de cabos no tratamento de gás,bandejamento de cabos no tratamento de gas,
Testar C5602,testar c5602,
"Testar BC211, SR205 e BC211A que estava obstruida.","testar bc211, sr205 e bc211a que estava obstruida.",
Verifação das sondas da peneira da C5601,verifacao das sondas da peneira da c5601,
Testar C5601 sem carga,testar c5601 sem carga,
Testar SR205,testar sr205,
Troca do motor da BC211,troca do motor da bc211,
Desimpedir BC331 pós emenda,desimpedir bc331 pos emenda,
Mostrar serviços pendente da C5602,mostrar servicos pendente da c5602,
Testar motor com baixo isolamento da C5602,testar motor com baixo isolamento da c5602,
Acompanhamento da C5602,acompanhamento da c5602,
Testar RE1202,testar re1202,
Apoio na emenda da BC216,apoio na emenda da bc216,
Bloqueio da BC211 para reparo na emenda.,bloqueio da bc211 para reparo na emenda.,
Testar MH02,testar mh02,
Desimpedir rota sol de coque BC331 até BC333,desimpedir rota sol de coque bc331 ate bc333,
Desimpedir rota sol de coque,desimpedir rota sol de coque,
Apoio ao turno no pátio de carvão,apoio ao turno no patio de carvao,
Desimpedimento da BC334 para equipe da IEPN,desimpedimento da bc334 para equipe da iepn,
Arrumação das mesa dos containers do pátio de carvão,arrumacao das mesa dos containers do patio de carvao,
Quebra do redutor da CK5-Bis,quebra do redutor da ck5-bis,
Instalar rasgo de borda na cauda da BC211,instalar rasgo de borda na cauda da bc211,
Rasgo de borda no acionamento da BC211,rasgo de borda no acionamento da bc211,
Instalar proteção do motor da BC331,instalar protecao do motor da bc331,
Finalização da fechadura eletrônica,finalizacao da fechadura eletronica,
Laboratio e liberar C12,laboratio e liberar c12,
Chaves de desalinhamento da C5611,chaves de desalinhamento da c5611,
Instalar chave de desalinhamento ao longo da C5611,instalar chave de desalinhamento ao longo da c5611,
Instalar chave de desalinhamento na C5611.,instalar chave de desalinhamento na c5611.,
Impedimento da RE1201,impedimento da re1201,
Falha no relé da BC331,falha no rele da bc331,
Troca do cabo de aço da C5614,troca do cabo de aco da c5614,
GPS da Re1201,gps da re1201,
Testar linha 2,testar linha 2,
Bloquear BC331,bloquear bc331,
Normalizar a translação da SR205,normalizar a translacao da sr205,
Atendimento ao plantão e atuação no containers,atendimento ao plantao e atuacao no containers,
"Impedimento da C5604, rolete aquecendo.","impedimento da c5604, rolete aquecendo.",
Desimpedir BC331,desimpedir bc331,
Desimpedir rota sol,desimpedir rota sol,
Elétrica dos containers e Carrinho da BC216,eletrica dos containers e carrinho da bc216,
CARVÃO - PROGRAMADA - DESIMPEDIR E TESTAR C5607 E ST0801,carvao - programada - desimpedir e testar c5607 e st0801,
CARVÃO - PROGRAMADA -  LIGAR AR CONDICIONADO NO CONTAINER,carvao - programada -  ligar ar condicionado no container,
CARVÃO - PROGRAMADO - NORMALIZAR SONDA DA C5601,carvao - programado - normalizar sonda da c5601,
CARVÃO - PROGRAMADA - ARRUMAR CONTAINER,carvao - programada - arrumar container,
CARVÃO -  PROGRAMADA - REPARO NO BANDEJAMENTO DA C5608,carvao -  programada - reparo no bandejamento da c5608,
CARVÃO - CORRETIVA - RASGO DA CORREIA SR205,carvao - corretiva - rasgo da correia sr205,
CARVÃO - PLANEJADA -  DESBLOQUEIO ROTA SOL,carvao - planejada -  desbloqueio rota sol,
CARVÃO - PLANEJADA - DESBLOQUEIO DA BC331 /  DESBLOQUEIO DA C5608 / NORMALIZAR CH. DESAL. BC211,carvao - planejada - desbloqueio da bc331 /  desbloqueio da c5608 / normalizar ch. desal. bc211,
CARVÃO - PLANEJADA - DESIMPEDIR BC216 / ARRUMAÇÃO DA FERRAMENTARIA ELÉTRICA,carvao - planejada - desimpedir bc216 / arrumacao da ferramentaria eletrica,
CARVÃO - PLANEJADA - PLANTÃO RECEBIMENTO,carvao - planejada - plantao recebimento,
PREPARAÇÃO - CORRETIVA - TROCA DO MOTOR DA C5617AR,preparacao - corretiva - troca do motor da c5617ar,
PREPARAÇÃO - CORRETIVA - DISPONIBILIDADE PARA BLOQUEIO DO BRIT 3 APÓS QUEBRA DOS PARAFUSOS,preparacao - corretiva - disponibilidade para bloqueio do brit 3 apos quebra dos parafusos,
CARVÃO - PLANEJADA - DESBLOQUEIO DA BC331,carvao - planejada - desbloqueio da bc331,
CARVÃO - CORRETIVA - DESBLOQUEIO DA C5608,carvao - corretiva - desbloqueio da c5608,
CARVÃO - CORRETIVA - NORMALIZAR FALHAS NA SR205,carvao - corretiva - normalizar falhas na sr205,
CARVÃO - PROGRAMADA - DESBLOQUEIO DA BC331,carvao - programada - desbloqueio da bc331,
CARVÃO - CORRETIVA - APOIO ELÉTRICO NA REFORMA DO TAMBOR DE CAUDA DA C5608,carvao - corretiva - apoio eletrico na reforma do tambor de cauda da c5608,
CARVÃO - CORRETIVA - FALHA NO CABO DA STACKER 2,carvao - corretiva - falha no cabo da stacker 2,
DESBLOQUEIO DA C11 / BC215A / BC216,desbloqueio da c11 / bc215a / bc216,
APOIO AO TURNO NO RECEBIMENTO DE CARVÃO,apoio ao turno no recebimento de carvao,
PREPARAÇÃO - PROGRAMADA - BLOQUEIO DA ROTA PCI,preparacao - programada - bloqueio da rota pci,
APOIO AO TURNO,apoio ao turno,
APOIO AO TURNO + OCORRÊNCIA DO BLACKOUT,apoio ao turno + ocorrencia do blackout,
CARVÃO - CORRETIVA - INCÊNCIDO NO CUBICULO DA C5611,carvao - corretiva - incencido no cubiculo da c5611,
CARVÃO - CORRETIVA - DRENAGEM DAS BACIAS DE DECANTAÇÃO DA TORRE DO JACARÉ,carvao - corretiva - drenagem das bacias de decantacao da torre do jacare,
CARVÃO - PLANEJADA - INSTALAÇÃO DAS FECHADURAS ELETRONICAS NO CONTAINERS,carvao - planejada - instalacao das fechaduras eletronicas no containers,
CARVÃO - CORRETIVA - RASGO BC211,carvao - corretiva - rasgo bc211,
GÁS - CORRETIVA - APOIO AO TURNO NO PRECIPITADOR - PRONTIDÃO,gas - corretiva - apoio ao turno no precipitador - prontidao,
CARVÃO - CORRETIVA - EMENDA 3.3 DA RE1201 - PRONTIDÃO,carvao - corretiva - emenda 3.3 da re1201 - prontidao,
TRAT. GÁS - PLANTÃO - QUEIMA DO SOFTSTART AREA 1 BOMBA F,trat. gas - plantao - queima do softstart area 1 bomba f,
TRAT. GÁS - PLANTÃO - FALTA DE N2 DEVIDO DESARME DA FOX,trat. gas - plantao - falta de n2 devido desarme da fox,
"PREPARAÇÃO - CORRETIVA - BLOQUEIO E DESBLOQUEIO DA  C5617, APÓS RASGO NA CORREIA","preparacao - corretiva - bloqueio e desbloqueio da  c5617, apos rasgo na correia",
PREPARAÇÃO - CORRETIVA - TROCA DAS SONDAS DO SILO 1 E 2 DA PREPARAÇÃO,preparacao - corretiva - troca das sondas do silo 1 e 2 da preparacao,
PREPARAÇÃO - PLANEJADA - TROCAR TOMADAS NA SALA DOS GERENTES NO FABRIL,preparacao - planejada - trocar tomadas na sala dos gerentes no fabril,
TRAT. GÁS - PLANEJADA - LIGAÇÃO DOS INSTRUMENTOS DO EXAUSTOR,trat. gas - planejada - ligacao dos instrumentos do exaustor,
PREPARAÇÃO - CORRETIVA - DESBLOQUEIO DO CR2,preparacao - corretiva - desbloqueio do cr2,
PREPARAÇÃO - PROGRAMADA - TROCA DO ROTOR CR2,preparacao - programada - troca do rotor cr2,
PREPARAÇÃO - PLANEJADA - TROCA DO ROTOR CR2,preparacao - planejada - troca do rotor cr2,
"DG-5 com passagem, feito ajuste dos sensores de posição","dg-5 com passagem, feito ajuste dos sensores de posicao",
Alimentação do Aspersor da Pilha BC333,alimentacao do aspersor da pilha bc333,
Troca do redutor CK-8,troca do redutor ck-8,
Plantão - RP207,plantao - rp207,
Troca do conjunto de acionamento RP-207,troca do conjunto de acionamento rp-207,
Preparação MGK-22,preparacao mgk-22,
Correia CK-203. Correia enrolada no contra-peso,correia ck-203. correia enrolada no contra-peso,
Troca da correia BC333,troca da correia bc333,
Redutor CK5-Bis,redutor ck5-bis,
TRAC3 e Bloqueio para troca do elemento elástico CK5-Bis,trac3 e bloqueio para troca do elemento elastico ck5-bis,
Troca redutor CK5-Bis.,troca redutor ck5-bis.,
Impedimento CK-8. Retirada de pontos elétricos do PPC em reforma.,impedimento ck-8. retirada de pontos eletricos do ppc em reforma.,
BR-4 - Troca de castanhas e calibração,br-4 - troca de castanhas e calibracao,
TRAC1 - ACOMPANHAMENTOS DE ATIVIDADES,trac1 - acompanhamentos de atividades,
Plantão presencial ao recebimento de carvão,plantao presencial ao recebimento de carvao,
Calibração Anual BR4,calibracao anual br4,
Impedimento / acompanhamento troca redutor CK-6,impedimento / acompanhamento troca redutor ck-6,
Plantão / Falha de baixa pressão calderinha,plantao / falha de baixa pressao calderinha,
Plantão / Emenda Cabo 3.3kv Reclaimer 1201,plantao / emenda cabo 3.3kv reclaimer 1201,
Plantão / Desarme preciptador 3 e falha no controle CK-1,plantao / desarme preciptador 3 e falha no controle ck-1,
Atendimento plantão técnico - Valvula de saída Claus.,atendimento plantao tecnico - valvula de saida claus.,
Troca do acionamento CK-6,troca do acionamento ck-6,
Acompanhamento falha no acionamento CK-6,acompanhamento falha no acionamento ck-6,
Plantão presencial ao recebimento de carvão - Jonathan,plantao presencial ao recebimento de carvao - jonathan,
Migração Cabos preciptador 2. Tratamento de gás,migracao cabos preciptador 2. tratamento de gas,
Atendimento ao Turno letra A,atendimento ao turno letra a,
Atendimento ao turno - letra A,atendimento ao turno - letra a,
Operar ponte PR 01 para descer marreta do perfurador,operar ponte pr 01 para descer marreta do perfurador,
Operar ponte para descer marreta do furo 01,operar ponte para descer marreta do furo 01,
Trocar eixo translação do carro da ponte 01,trocar eixo translacao do carro da ponte 01,
Sinergia Condicionamento de placas,sinergia condicionamento de placas,
Sinergia Forno 3,sinergia forno 3,
Sinergia Lingotamento,sinergia lingotamento,
Sinergia Continuo,sinergia continuo,
Preventiva canal 03,preventiva canal 03,
Sinergia Forno 03,sinergia forno 03,
Preventiva canhão 2,preventiva canhao 2,
Preventiva em PR 02,preventiva em pr 02,
Preventiva CBG 01,preventiva cbg 01,
Preventiva Canal 01,preventiva canal 01,
Preventiva canhão 3,preventiva canhao 3,
Acompanhar instabilidade do forno,acompanhar instabilidade do forno,
Sinergia Aciaria RH1,sinergia aciaria rh1,
Preventiva Canal 02,preventiva canal 02,
Funcionário de férias.,funcionario de ferias.,
Cobertura de férias de funcionário,cobertura de ferias de funcionario,
Quebra do truck3 - RE02,quebra do truck3 - re02,
Cobertura de ferias de funcionário,cobertura de ferias de funcionario,
Cobrindo afastamento por atestado,cobrindo afastamento por atestado,
Extra como eletricista de impedimento,extra como eletricista de impedimento,
Inversor da PC501H,inversor da pc501h,
Falha no grupo frigorifico,falha no grupo frigorifico,
"Retirada de material, limpeza e organização da area 0509","retirada de material, limpeza e organizacao da area 0509",
Instalação do atuador da valvula ES504,instalacao do atuador da valvula es504,
Claus com dificuldade para entrar em operação.,claus com dificuldade para entrar em operacao.,
Falha nos Instrumentos de saída do EX1201C,falha nos instrumentos de saida do ex1201c,
Falha nos Instrumentos de entrada do EX1201C,falha nos instrumentos de entrada do ex1201c,
Instalação do gatway,instalacao do gatway,
Troca de motor 8202B,troca de motor 8202b,
Mobilização para reforma do canteiro 01,mobilizacao para reforma do canteiro 01,
Atendimento as maquinas do pátio de carvão,atendimento as maquinas do patio de carvao,
Lançamento de cabo de alimentação do Caravelli,lancamento de cabo de alimentacao do caravelli,
Atendimento no acionamento da BC331,atendimento no acionamento da bc331,
Atendimento a para de coluna,atendimento a para de coluna,
Manobras no acionamentos dos motores do refriador,manobras no acionamentos dos motores do refriador,
Apoio na parado da CK3 bis (Sup.Robinho),apoio na parado da ck3 bis (sup.robinho),
Ligação do motor do CD1,ligacao do motor do cd1,
Troca do inversor do PC505A,troca do inversor do pc505a,
Organização dos sobresalentes,organizacao dos sobresalentes,
Preventiva na instrumentação da caldeirinha,preventiva na instrumentacao da caldeirinha,
Desmontagem da placa de orifício do compressor de COG,desmontagem da placa de orificio do compressor de cog,
Troca da PC502 A,troca da pc502 a,
Atendimento no prontidão ao pátio de carvão,atendimento no prontidao ao patio de carvao,
Atendimento de prontidão na BC 334 - Curto no controle das proteções.,atendimento de prontidao na bc 334 - curto no controle das protecoes.,
Entrada antecipada para realização de bloqueios Elétricos,entrada antecipada para realizacao de bloqueios eletricos,
TALHA DA ETB,talha da etb,
Troca de termopar do Claus,troca de termopar do claus,
Ligação de instrumentos do EX1201B,ligacao de instrumentos do ex1201b,
Medição de isolamentos no TG,medicao de isolamentos no tg,
Instrumentação do Claus,instrumentacao do claus,
Migração dos cabos do precipitador.,migracao dos cabos do precipitador.,
Preparação VAQ.,preparacao vaq.,
Troca da valvula BAV.,troca da valvula bav.,
Troca BBA 3 de Staves.,troca bba 3 de staves.,
Retirada e transporte BBA do BF.,retirada e transporte bba do bf.,
Troca da BBA de Staves 01.,troca da bba de staves 01.,
Preventiva perfurador.,preventiva perfurador.,
Pré uso dos equipamentos.,pre uso dos equipamentos.,
Preventiva perfurador 01.,preventiva perfurador 01.,
acompanhamento do reparo da correia Finos de coque 3,acompanhamento do reparo da correia finos de coque 3,
acompanhamento do reparo na correia finos de coque 3,acompanhamento do reparo na correia finos de coque 3,
acompanhar reparo na correia FC3 realizado pela Betetch vulc,acompanhar reparo na correia fc3 realizado pela betetch vulc,
atendimento a troca da anti calha 4,atendimento a troca da anti calha 4,
Troca da PV 14,troca da pv 14,
troca da PV 4 de minerio,troca da pv 4 de minerio,
Auditoria TCA,auditoria tca,
limpeza do bandejamento da correia CTP,limpeza do bandejamento da correia ctp,
ajuste das vedações laterais do TC-CTP,ajuste das vedacoes laterais do tc-ctp,
Acompanhamento de limpeza dos embarcado e equipe Dikma,acompanhamento de limpeza dos embarcado e equipe dikma,
Acompanhamento de limpeza dos embarcado e equipe Dikma limpeza do CWQ,acompanhamento de limpeza dos embarcado e equipe dikma limpeza do cwq,
Acompanhamento limpeza CWQ e Carregamento coque Frio 301,acompanhamento limpeza cwq e carregamento coque frio 301,
Carregamento coque Frio retorno da unidade 301,carregamento coque frio retorno da unidade 301,
Preparação e acompanhamento da manobra de troca do frame cilindro C4,preparacao e acompanhamento da manobra de troca do frame cilindro c4,
Acompanhamento da equipe da dikma na limpeza da area e serviços técnicos,acompanhamento da equipe da dikma na limpeza da area e servicos tecnicos,
Acompanhamento do novo caminho seguro e acompanhamento de equipe de limpeza da dikma,acompanhamento do novo caminho seguro e acompanhamento de equipe de limpeza da dikma,
"Acompanhamento da ocorrencia Dikma, e medição da dikma","acompanhamento da ocorrencia dikma, e medicao da dikma",
"Falha do envibat bateria 4, apoio na operação","falha do envibat bateria 4, apoio na operacao",
Descomissionamento da bateria 1,descomissionamento da bateria 1,
Descomissionamento bateria 1 e manobra tubulão,descomissionamento bateria 1 e manobra tubulao,
Manobra do tubulão de MG bateria 2 e descomissionamento bateria 1,manobra do tubulao de mg bateria 2 e descomissionamento bateria 1,
Acompanhamento da equipe Dikma,acompanhamento da equipe dikma,
Acompanhamento manobra de gás devido furo tubulão de MG bat 3 LC,acompanhamento manobra de gas devido furo tubulao de mg bat 3 lc,
Acompanhamento de manobra de gas,acompanhamento de manobra de gas,
Alteração de padrão e acompanhamento da rotina da Dikma e controle térmico,alteracao de padrao e acompanhamento da rotina da dikma e controle termico,
Acompanhamento da equipe dikma e fechamente da medição do contrato,acompanhamento da equipe dikma e fechamente da medicao do contrato,
"Retorno na area para N2, manobra de raqueteamento, desarme da reversão bateria 4","retorno na area para n2, manobra de raqueteamento, desarme da reversao bateria 4",
Apoio ao Blackout,apoio ao blackout,
Apoio a manobra de reparo no tubulão de MG,apoio a manobra de reparo no tubulao de mg,
Acompanhamento da limpeza da CK1 e CK2,acompanhamento da limpeza da ck1 e ck2,
Reparo no tubulão de MG bateria 3 LC e acompanhamento de limpeza para visita,reparo no tubulao de mg bateria 3 lc e acompanhamento de limpeza para visita,
Acompanhamento da limpeza do distibuidor LM e reparo do LC,acompanhamento da limpeza do distibuidor lm e reparo do lc,
Acompanhamento da manobra de reparo do distribuidor de MG bateria 3,acompanhamento da manobra de reparo do distribuidor de mg bateria 3,
manobra de reparo do distribuidor de MG bateria 3 e passagem de turno para supervisor,manobra de reparo do distribuidor de mg bateria 3 e passagem de turno para supervisor,
"Ocorrencia de desarme de N2 na fox, acompanhando retorno da bateria e controle de COG","ocorrencia de desarme de n2 na fox, acompanhando retorno da bateria e controle de cog",
Acompanhamento de atividade de reparo da correio do despoeiramento dos guias de coque,acompanhamento de atividade de reparo da correio do despoeiramento dos guias de coque,
Manobra da interligação de licor da bateria 2/3,manobra da interligacao de licor da bateria 2/3,
Apoio na operação devido queda de porta no LM bateria 4,apoio na operacao devido queda de porta no lm bateria 4,
Apoio na troca da correia do Despoeiramento dos guias,apoio na troca da correia do despoeiramento dos guias,
Acompanhamento de limpeza da area,acompanhamento de limpeza da area,
Acompanhamento da visita de orgão externo,acompanhamento da visita de orgao externo,
Troca de turno para supervisão,troca de turno para supervisao,
Manobra da inertização da bateria 1,manobra da inertizacao da bateria 1,
Troca de Doorframe Forno 104,troca de doorframe forno 104,
Sacar Doorframe forno 26,sacar doorframe forno 26,
Atendimento a serviços extraordinarios ( solicitação supervisor ),atendimento a servicos extraordinarios ( solicitacao supervisor ),
Instabilidade AF 02,instabilidade af 02,
subiustituição de ferias AF 02,subiustituicao de ferias af 02,
Subistituição de Afastamento AF 02,subistituicao de afastamento af 02,
Cobrindo falecimento da tia,cobrindo falecimento da tia,
Apoio ao retorno do AF 03,apoio ao retorno do af 03,
Apoio á operação,apoio a operacao,
Teinamneto NR20 basico 2,teinamneto nr20 basico 2,
Ajuste TKIS,ajuste tkis,
Ajuste TKIS Bateria 4.,ajuste tkis bateria 4.,
CrossWall Mensal baterias 1 e 2 e ajuste TKIS,crosswall mensal baterias 1 e 2 e ajuste tkis,
Ecoline Queima de COG BATERIA 4,ecoline queima de cog bateria 4,
Manobra Bateria 4,manobra bateria 4,
CrossWall Mensal Bat 1 e 2,crosswall mensal bat 1 e 2,
Sopragem Canal Sole Flue,sopragem canal sole flue,
Ferias Colaborador Jeremias,ferias colaborador jeremias,
Ferias Colaborador Maksuel,ferias colaborador maksuel,
Colaborador Maksuell ferias,colaborador maksuell ferias,
Referente a manobra de inertização bateria 2 e CrossWalll pressão Bat 3 fornos 142 / 143,referente a manobra de inertizacao bateria 2 e crosswalll pressao bat 3 fornos 142 / 143,
Lancamento Referente ao CrossWall Bateria 3,lancamento referente ao crosswall bateria 3,
Referente ao CrossWall Bateria 1 e 2,referente ao crosswall bateria 1 e 2,
Lançamento referente férias do colaborador  Maksuell,lancamento referente ferias do colaborador  maksuell,
Referente Limpeza do Canal Sole Flue F129,referente limpeza do canal sole flue f129,
Referente a limpeza do canal do sole Flue Forno 135,referente a limpeza do canal do sole flue forno 135,
Referente a inertização do TUBULÃO DE MG para reparo do furo.,referente a inertizacao do tubulao de mg para reparo do furo.,
CrossWall Mes 4 bateria 3,crosswall mes 4 bateria 3,
Manobra de Regenerador 110 + Pressão do TOPO bateria 3,manobra de regenerador 110 + pressao do topo bateria 3,
CrossWall Bateria 2 + Apoio No lugar do William afastado,crosswall bateria 2 + apoio no lugar do william afastado,
RMS LETRAS A e B,rms letras a e b,
"Acompanhamento Limpeza das Valvulas COG dos fornos 148, 149, 150, 151, 152 e 153 somente LM","acompanhamento limpeza das valvulas cog dos fornos 148, 149, 150, 151, 152 e 153 somente lm",
"Acompanhamento Limpeza das Valvulas COG dos fornos 154, 155, 156, 157, 158, 159, 160, 161 somente LM","acompanhamento limpeza das valvulas cog dos fornos 154, 155, 156, 157, 158, 159, 160, 161 somente lm",
Acompanhamento a limpeza das valvulas de COG bateria 4,acompanhamento a limpeza das valvulas de cog bateria 4,
Remanejamento Equipe / Aferição e limpeza placas de orificio COG Bateria 4 .,remanejamento equipe / afericao e limpeza placas de orificio cog bateria 4 .,
Afastamento Denize + 2 horas CrossWall Bateria 4,afastamento denize + 2 horas crosswall bateria 4,
Afastamento colaborador William,afastamento colaborador william,
CrossWall bateria 3 + ajuste de combustão bateria 1.,crosswall bateria 3 + ajuste de combustao bateria 1.,
Referente ao ecoline por serie bateria 3,referente ao ecoline por serie bateria 3,
"CrossWall de pressão 135/136, Pressão do TOPO bateria 3, sucção bateria 3","crosswall de pressao 135/136, pressao do topo bateria 3, succao bateria 3",
Plano de Experiencia 20 minutos + CrossWall Serie de 3,plano de experiencia 20 minutos + crosswall serie de 3,
Apoio Rotina devido DUMPER da chamine em manual.,apoio rotina devido dumper da chamine em manual.,
"Inertização bateria 3, Ajuste de COG devido SO2 elevado, delta T bateria 3, cross de pressão","inertizacao bateria 3, ajuste de cog devido so2 elevado, delta t bateria 3, cross de pressao",
Analise/Campanha Ecoline Mes 07/24 Bateria 3,analise/campanha ecoline mes 07/24 bateria 3,
"Inertização bateria 3, Ajuste de COG.","inertizacao bateria 3, ajuste de cog.",
CrossWall Bateria 2 e CrossWall Bateria 3 referente ao mes de agosto.,crosswall bateria 2 e crosswall bateria 3 referente ao mes de agosto.,
CrossWall Bateria 4,crosswall bateria 4,
Lancamento devido manobra de retorno do regenerador forno 110  para operação,lancamento devido manobra de retorno do regenerador forno 110  para operacao,
"Instalação Ponto de N2 coletor terciario bateria 3, manobra raqueteamento coletor terciario bat 1.","instalacao ponto de n2 coletor terciario bateria 3, manobra raqueteamento coletor terciario bat 1.",
Acompanhando regenerador 111 devido dificuldade da equipe de trabalhar por conta da temperatura.,acompanhando regenerador 111 devido dificuldade da equipe de trabalhar por conta da temperatura.,
Referente ao CrossWall da bateria 4 com COG,referente ao crosswall da bateria 4 com cog,
Referente a queima de COG bateria 3 e queima de COG bateria 4.,referente a queima de cog bateria 3 e queima de cog bateria 4.,
Ajuste da Valvula Gaveta e interligaçã BAT2 + Ajuste TKIS,ajuste da valvula gaveta e interligaca bat2 + ajuste tkis,
"CrossWall de pressão , Analise Ecoline Bateria 3 + CrossWall bateria 3.","crosswall de pressao , analise ecoline bateria 3 + crosswall bateria 3.",
CrossWall Bateria 2 e restante CrossWall Bateria 3,crosswall bateria 2 e restante crosswall bateria 3,
Limpeza RB´s 111 e 112LC e Ecoline da bateria 2.,limpeza rb's 111 e 112lc e ecoline da bateria 2.,
Limpeza do Forno 100LC e Ajuste na bateria 1,limpeza do forno 100lc e ajuste na bateria 1,
Hora Extra devido compensação Colaborador Marcelo.,hora extra devido compensacao colaborador marcelo.,
Blackout Usina,blackout usina,
Acompanhamento devido retorno da bateria 3 para MG.,acompanhamento devido retorno da bateria 3 para mg.,
Inertização e acompanhamento da limpeza das valvulas RB´s,inertizacao e acompanhamento da limpeza das valvulas rb's,
Manobra e acompanhamento inertização,manobra e acompanhamento inertizacao,
"Acompanhamento inertização, recapeamento e limpeza dos pescoços bateria 3, hora extra devido atraso.","acompanhamento inertizacao, recapeamento e limpeza dos pescocos bateria 3, hora extra devido atraso.",
Acompanhamento inertização,acompanhamento inertizacao,
Colaborador Maksuell licenca casamento.,colaborador maksuell licenca casamento.,
"Licenca Casamento colaborador Maksuell e leituras cam 1/32 batera 1, 2 e 3","licenca casamento colaborador maksuell e leituras cam 1/32 batera 1, 2 e 3",
CrossWall Bateria 2 e Ajuste bateria 3,crosswall bateria 2 e ajuste bateria 3,
CrossWall Bateria 3,crosswall bateria 3,
CrossWall de pressão bateria 4 (Camara por Camara),crosswall de pressao bateria 4 (camara por camara),
Acompanhamento após ocorrencia da correia do despoeiramento,acompanhamento apos ocorrencia da correia do despoeiramento,
HE AF2 letra A,he af2 letra a,
hora extra letra A,hora extra letra a,
workshop bloqueio a cadeado,workshop bloqueio a cadeado,
apoio ao alto forno 1,apoio ao alto forno 1,
"Workshop, RMS, RDS e DDS","workshop, rms, rds e dds",
ATUAÇÃO CC6 E GUIA 03,atuacao cc6 e guia 03,
BALANCEAMENTO DO MF 301,balanceamento do mf 301,
ATUAÇÃO NO CDQ,atuacao no cdq,
ATUAÇÃO NO BARRAMENTO DA LOC,atuacao no barramento da loc,
BLOQUEIO MD3 E CC5,bloqueio md3 e cc5,
ATENDIMENTO MD 02,atendimento md 02,
ATENDIMENDO MD 2 (PRONTIDÃO),atendimendo md 2 (prontidao),
ATENDIMENTO NA OCORRÊNCIA DA PONTE 02,atendimento na ocorrencia da ponte 02,
ATUAÇÃO MD3 | ROTA DO SILO,atuacao md3 | rota do silo,
ATUAÇÃO CC6 | MOTOR DE TRANSLAÇÃO,atuacao cc6 | motor de translacao,
ATENDIMENTO PROVEN | BAT 4,atendimento proven | bat 4,
BLOQUEIO,bloqueio,
ATUAÇÃO LOC 02,atuacao loc 02,
ATENDIMENTO A ICCM,atendimento a iccm,
ATUAÇÃO CDQ,atuacao cdq,
ATUAÇÃO CC6,atuacao cc6,
ATUAÇÃO NA LOCOMOTIVA 02,atuacao na locomotiva 02,
ATUAÇÃO NA ILUMINAÇÃO | BAT 02 LC,atuacao na iluminacao | bat 02 lc,
ATENDIMENTO PRONTIDÃO,atendimento prontidao,
BLOQUEIO GUIA 02,bloqueio guia 02,
BLOQUEIO PONTE 01,bloqueio ponte 01,
ATENDIMENTO PONTO 02 | PRONTIDÃO,atendimento ponto 02 | prontidao,
BLOQUEIO CC4,bloqueio cc4,
BLOQUEIO PONTE 02,bloqueio ponte 02,
ACOMPANHAMENTO DO RETORNO DA LOC 03,acompanhamento do retorno da loc 03,
ATUAÇÃO MD3,atuacao md3,
ATUAÇÃO MD1,atuacao md1,
DESBLOQUEIO LOC 01,desbloqueio loc 01,
ATUAÇÃO PONTE 02,atuacao ponte 02,
ATUAÇÃO MF 101,atuacao mf 101,
ATUAÇÃO NO MF-101,atuacao no mf-101,
ATUAÇÃO MF-101,atuacao mf-101,
ATUAÇÃO MD2,atuacao md2,
ATUAÇÃO TRANSFERENCIA 02,atuacao transferencia 02,
BLOQUEIO P006,bloqueio p006,
ATUAÇÃO NO BARRAMENTO DAS MD's,atuacao no barramento das md's,
ATUAÇÃO NO BARRAMENTO DA LOCOMOTIVA,atuacao no barramento da locomotiva,
ATUAÇÃO PONTE 01,atuacao ponte 01,
ATUAÇÃO NO GUIA 02 / BARRAMENTO DOS GUIAS,atuacao no guia 02 / barramento dos guias,
ATUAÇÃO NA LOC 02,atuacao na loc 02,
ACIONADO PRONTIDÃO | PONTE 02,acionado prontidao | ponte 02,
atividade critica no compeseito da bat:4,atividade critica no compeseito da bat:4,
cobrir ferias de colaborador,cobrir ferias de colaborador,
