Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
Levar materiais para serem alienados.,levar materiais para serem alienados.,,Outros Eventos Externos
Organizando materiais nas prateleiras e requisitando materiais em gerais.,organizando materiais nas prateleiras e requisitando materiais em gerais.,,Outros Eventos Externos
"Buscando equipamentos no Bombeiros, para realizar atividades na área.","buscando equipamentos no bombeiros, para realizar atividades na area.",,Outros Eventos Externos
Transportando materiais de um pátio para outro. (CDQ),transportando materiais de um patio para outro. (cdq),,Outros Eventos Externos
"Movimentação de peças e equipamentos com a empilhadeira, de um pátio para o outro.","movimentacao de pecas e equipamentos com a empilhadeira, de um patio para o outro.",,Outros Eventos Externos
limpeza e organização das alas dos planejadores.,limpeza e organizacao das alas dos planejadores.,,Outros Eventos Externos
Cadastros de equipamentos recéns chegados do laboratório,cadastros de equipamentos recens chegados do laboratorio,,Manutenção/Inspeção/Teste de Máquina
separação de materiais para serem enviados ao almoxarifado 01 (estoque),separacao de materiais para serem enviados ao almoxarifado 01 (estoque),,Outros Eventos Externos
Fazendo cadastro de novos equipamentos para serem enviados ao laboratório.,fazendo cadastro de novos equipamentos para serem enviados ao laboratorio.,,Não Classificado
"Movimentação de cargas com a empilhadeira, próximo as caçambas de cargas.","movimentacao de cargas com a empilhadeira, proximo as cacambas de cargas.",,Outros Eventos Externos
Movimentação de materiais do pátio de caçambas e CDQ. (empilhadeira).,movimentacao de materiais do patio de cacambas e cdq. (empilhadeira).,,Outros Eventos Externos
Criando OM`s para enviarem itens pra reparo.,criando om`s para enviarem itens pra reparo.,,Não Classificado
Retiradas de materiais em cima da laje da ferramentaria.,retiradas de materiais em cima da laje da ferramentaria.,,Outros Eventos Externos
"Apoiando nas atividades de área, separação de ferramentas e materíais.","apoiando nas atividades de area, separacao de ferramentas e materiais.",,Não Classificado
Atendimento e movimentações de materiais no pátio.,atendimento e movimentacoes de materiais no patio.,,Outros Eventos Externos
Movimentação de materiais do pátio de caçambas. (empilhadeira).,movimentacao de materiais do patio de cacambas. (empilhadeira).,,Outros Eventos Externos
Levar materiais para alienação e pedidos de compras.,levar materiais para alienacao e pedidos de compras.,,Outros Eventos Externos
Separação de materiais para serem reparados / Limpeza e organização pátio e ferramentaria.,separacao de materiais para serem reparados / limpeza e organizacao patio e ferramentaria.,,Outros Eventos Externos
Reparos e manuntenções em equipamentos danificados / Movimentaçoes de materiais Pátio CDQ.,reparos e manuntencoes em equipamentos danificados / movimentacoes de materiais patio cdq.,,Manutenção/Inspeção/Teste de Máquina
Movimentação e organização de materíais com auxílio da empilhadeira.,movimentacao e organizacao de materiais com auxilio da empilhadeira.,,Outros Eventos Externos
Concertos e reparos de máquinas e equipamentos.,concertos e reparos de maquinas e equipamentos.,,Manutenção/Inspeção/Teste de Máquina
Separação de materíais para serem enviados  ao almoxarifado 1.(estoque),separacao de materiais para serem enviados  ao almoxarifado 1.(estoque),,Outros Eventos Externos
Concerto e reparos em talhas alavancas e organização de pátio.,concerto e reparos em talhas alavancas e organizacao de patio.,,Manutenção/Inspeção/Teste de Máquina
"Preparação dos tubos para serem instalados próximo as caçambas, limpeza e organização do pátio.","preparacao dos tubos para serem instalados proximo as cacambas, limpeza e organizacao do patio.",,Outros Eventos Externos
Limpeza e Organizaçaõ sala do sobresalente. (André Menini),limpeza e organizacao sala do sobresalente. (andre menini),,Outros Eventos Externos
"Carregamento de materíais, projeto estoque avançado.","carregamento de materiais, projeto estoque avancado.",,Outros Eventos Externos
"Separação e carregamento de materíais, projeto estoque avançado.","separacao e carregamento de materiais, projeto estoque avancado.",,Não Classificado
"Transportando Redutor até a Oficina Central, pra ser raparado e em seguida trazer devolta pra área.","transportando redutor ate a oficina central, pra ser raparado e em seguida trazer devolta pra area.",,Manutenção/Inspeção/Teste de Máquina
Transporte e movimentação de materiais Pátio / Projeto estoque avançado.,transporte e movimentacao de materiais patio / projeto estoque avancado.,,Outros Eventos Externos
Buscando itens de hidratação para executantes na atividade no tubulão.,buscando itens de hidratacao para executantes na atividade no tubulao.,,Outros Eventos Externos
Buscando itens de hidratação para executantes na atividade do tubulão.,buscando itens de hidratacao para executantes na atividade do tubulao.,,Não Classificado
troca da trave da md2,troca da trave da md2,,Manutenção/Inspeção/Teste de Máquina
adptação do eletroimã saca tampa3 cc6,adptacao do eletroima saca tampa3 cc6,,Manutenção/Inspeção/Teste de Máquina
Guia \ Fabiano Ramos,guia \ fabiano ramos,,Não Classificado
ajuste da trave niveladora da md2,ajuste da trave niveladora da md2,,Manutenção/Inspeção/Teste de Máquina
"preparação de bomba de agua do cdq, levantando e soldando caçamba cdq..","preparacao de bomba de agua do cdq, levantando e soldando cacamba cdq..",,Manutenção/Inspeção/Teste de Máquina
montando a bomba no cdq,montando a bomba no cdq,,Manutenção/Inspeção/Teste de Máquina
troca do fleme,troca do fleme,,Manutenção/Inspeção/Teste de Máquina
atenteno o Lucas Magalhães,atenteno o lucas magalhaes,,Substituição de Colaborador
"CDQ, boca de carga","cdq, boca de carga",,Parada de Máquina
reparo no gancho da niveladora da md2,reparo no gancho da niveladora da md2,,Manutenção/Inspeção/Teste de Máquina
preparando peças para Tatiana,preparando pecas para tatiana,,Substituição de Colaborador
fazendo o isolamento do estacionamento,fazendo o isolamento do estacionamento,,Outros Eventos Externos
acompanhar pantografia do embolo e as rodas.,acompanhar pantografia do embolo e as rodas.,,Manutenção/Inspeção/Teste de Máquina
acompanhando a eletrica na md3,acompanhando a eletrica na md3,,Manutenção/Inspeção/Teste de Máquina
Sobreaviso acionado para  o cdq boca de carga,sobreaviso acionado para  o cdq boca de carga,,Parada de Máquina
Abrindo mancal para realizar utrason na locomotiva 01,abrindo mancal para realizar utrason na locomotiva 01,,Manutenção/Inspeção/Teste de Máquina
Linhar o motor  no cdq,linhar o motor  no cdq,,Manutenção/Inspeção/Teste de Máquina
bateria fixa,bateria fixa,,Não Classificado
bateria fixa tubulão,bateria fixa tubulao,,Parada de Máquina
troca do cilindro na batetia 1 .. Bateria fixa,troca do cilindro na batetia 1 .. bateria fixa,,Manutenção/Inspeção/Teste de Máquina
atendo o turno,atendo o turno,,Substituição de Colaborador
troca do eletroima do cc6,troca do eletroima do cc6,,Manutenção/Inspeção/Teste de Máquina
aponho ao turno mecanico,aponho ao turno mecanico,,Manutenção/Inspeção/Teste de Máquina
manobra de caçamba de locomotiva,manobra de cacamba de locomotiva,,Não Classificado
"bateria fixa  troca do carretel da valvula , indentificação das linhas hidrogenio e fixão das placas","bateria fixa  troca do carretel da valvula , indentificacao das linhas hidrogenio e fixao das placas",,Manutenção/Inspeção/Teste de Máquina
Troca de cindro do guia 3,troca de cindro do guia 3,,Manutenção/Inspeção/Teste de Máquina
atendento o turno mecanico,atendento o turno mecanico,,Substituição de Colaborador
Dando baixa nas om,dando baixa nas om,,Não Classificado
atendendo  guia 1,atendendo  guia 1,,Não Classificado
atendendo guia 1,atendendo guia 1,,Não Classificado
troca da ras rodas da caçamba locomotiva,troca da ras rodas da cacamba locomotiva,,Manutenção/Inspeção/Teste de Máquina
Sanando anomalia no pluvi de mistura,sanando anomalia no pluvi de mistura,,Manutenção/Inspeção/Teste de Máquina
Manabra de caçamba na locomotiva,manabra de cacamba na locomotiva,,Não Classificado
confeccionar quadros para md,confeccionar quadros para md,,Não Classificado
confeccão de suporte para sacar pino de corrente na bateia fixa,confeccao de suporte para sacar pino de corrente na bateia fixa,,Manutenção/Inspeção/Teste de Máquina
melhoria no saca tampa 5 no c66,melhoria no saca tampa 5 no c66,,Manutenção/Inspeção/Teste de Máquina
troca das vigas da grade do gia 3,troca das vigas da grade do gia 3,,Manutenção/Inspeção/Teste de Máquina
serviço na locomotiva,servico na locomotiva,,Manutenção/Inspeção/Teste de Máquina
cdq decendo inversor da ponte,cdq decendo inversor da ponte,,Manutenção/Inspeção/Teste de Máquina
Troc do cabo de aço da ponte,troc do cabo de aco da ponte,,Manutenção/Inspeção/Teste de Máquina
troca de componentes da niveladiora da md3,troca de componentes da niveladiora da md3,,Manutenção/Inspeção/Teste de Máquina
troca dos parafusos a md2,troca dos parafusos a md2,,Manutenção/Inspeção/Teste de Máquina
Tratando anomalia com a eletrica ( troca do trilo da locomativa,tratando anomalia com a eletrica ( troca do trilo da locomativa,,Manutenção/Inspeção/Teste de Máquina
acompanhando eletrica na ponte cdq,acompanhando eletrica na ponte cdq,,Manutenção/Inspeção/Teste de Máquina
calibração da balança cc5,calibracao da balanca cc5,,Manutenção/Inspeção/Teste de Máquina
troca do cabo de aço da barra niveladora da md3,troca do cabo de aco da barra niveladora da md3,,Manutenção/Inspeção/Teste de Máquina
Troca da ponta de barra niveladora da md2,troca da ponta de barra niveladora da md2,,Manutenção/Inspeção/Teste de Máquina
"DEsmobilização do serviço do tubulçao, e apoio mecanico no turno..","desmobilizacao do servico do tubulcao, e apoio mecanico no turno..",,Manutenção/Inspeção/Teste de Máquina
troca da bomba  p005,troca da bomba  p005,,Manutenção/Inspeção/Teste de Máquina
apoio ao turno mecanico,apoio ao turno mecanico,,Manutenção/Inspeção/Teste de Máquina
apoia ao torno mecanico,apoia ao torno mecanico,,Manutenção/Inspeção/Teste de Máquina
aliamento das rodas da grade do guia2,aliamento das rodas da grade do guia2,,Manutenção/Inspeção/Teste de Máquina
Troca do cilindro de levantamento da md 3,troca do cilindro de levantamento da md 3,,Manutenção/Inspeção/Teste de Máquina
manobra de caçamba..,manobra de cacamba..,,Manutenção/Inspeção/Teste de Máquina
Troca da alças da caçambas,troca da alcas da cacambas,,Manutenção/Inspeção/Teste de Máquina
troca do suporte do cinlindro do blinder,troca do suporte do cinlindro do blinder,,Manutenção/Inspeção/Teste de Máquina
troca das rodas da caçamba,troca das rodas da cacamba,,Manutenção/Inspeção/Teste de Máquina
"laboratorio, patio de carvão, tratamento de gás, Alair.","laboratorio, patio de carvao, tratamento de gas, alair.",,Não Classificado
"atendimento no impedimento da correia C5619, Alair","atendimento no impedimento da correia c5619, alair",,Parada de Máquina
"atendimento na correia ck5, Jonatha","atendimento na correia ck5, jonatha",,Manutenção/Inspeção/Teste de Máquina
"atendimento na correia trac1, Jonatha","atendimento na correia trac1, jonatha",,Manutenção/Inspeção/Teste de Máquina
"medição de isolamento motores SR205, Mainho","medicao de isolamento motores sr205, mainho",,Manutenção/Inspeção/Teste de Máquina
"desarme dijuntor de controle das bombas do gás, Alair.","desarme dijuntor de controle das bombas do gas, alair.",,Parada de Máquina
"turninho patiode carvão, Jonathan","turninho patiode carvao, jonathan",,Não Classificado
"reparo dos cabos área do gás, Renato","reparo dos cabos area do gas, renato",,Manutenção/Inspeção/Teste de Máquina
"reparo dos cabos na area do gas, renato","reparo dos cabos na area do gas, renato",,Manutenção/Inspeção/Teste de Máquina
"limpeza da sonda da WF15, Alair","limpeza da sonda da wf15, alair",,Manutenção/Inspeção/Teste de Máquina
"acionado para troca do motor da mesa RP 207, Alair, Luciano","acionado para troca do motor da mesa rp 207, alair, luciano",,Manutenção/Inspeção/Teste de Máquina
"atendimento patio de carvão, Jonathan","atendimento patio de carvao, jonathan",,Não Classificado
"impedimento C9, C10, C11, C13, Main.","impedimento c9, c10, c11, c13, main.",,Não Classificado
"mobilização de materias eletrico e organizção da area 5 gás, Renato","mobilizacao de materias eletrico e organizcao da area 5 gas, renato",,Outros Eventos Externos
"troca do motor deacionamento da BC211, Jonathan","troca do motor deacionamento da bc211, jonathan",,Manutenção/Inspeção/Teste de Máquina
"plantão da rota velha, Main","plantao da rota velha, main",,Não Classificado
"impedimento da PV25A, Alair","impedimento da pv25a, alair",,Parada de Máquina
"troca da celula de carga da WF14, Alair","troca da celula de carga da wf14, alair",,Manutenção/Inspeção/Teste de Máquina
"troca de circuito do laboratorio, Alair","troca de circuito do laboratorio, alair",,Manutenção/Inspeção/Teste de Máquina
"instalar chave de desalinhamento C5611, Jonathan","instalar chave de desalinhamento c5611, jonathan",,Manutenção/Inspeção/Teste de Máquina
"desmobilizar infra e circuitos eletricos da sala ppc e atc, Alair","desmobilizar infra e circuitos eletricos da sala ppc e atc, alair",,Manutenção/Inspeção/Teste de Máquina
"lançar cabo e instalar painel no predio da preparação, Alair","lancar cabo e instalar painel no predio da preparacao, alair",,Manutenção/Inspeção/Teste de Máquina
"troca do motor do DG3, Robinho","troca do motor do dg3, robinho",,Manutenção/Inspeção/Teste de Máquina
"montagem da infraestrutura da WF8, Main","montagem da infraestrutura da wf8, main",,Não Classificado
"atendimento turno recebimento, jhonatan","atendimento turno recebimento, jhonatan",,Substituição de Colaborador
"realizar impedimento RE1201, Jonathan","realizar impedimento re1201, jonathan",,Não Classificado
"turno recebimento, Jonathan","turno recebimento, jonathan",,Substituição de Colaborador
"impedimento TR2, Jonathan","impedimento tr2, jonathan",,Parada de Máquina
atendimento no gás. Jonathan,atendimento no gas. jonathan,,Não Classificado
"bloqueio da RE1201, Jonathan","bloqueio da re1201, jonathan",,Parada de Máquina
COQUERIA - TURNO - LUCIANO,coqueria - turno - luciano,,Não Classificado
PATIO DE CARVÃO - PROGAMADA - INSTALAÇÃO DE FECHADURA ELETRONICA - JONATHAN,patio de carvao - progamada - instalacao de fechadura eletronica - jonathan,,Manutenção/Inspeção/Teste de Máquina
PATIO DE CARVÃO - PROGAMADA - BLOQUEIO BC216 - JONATHAN,patio de carvao - progamada - bloqueio bc216 - jonathan,,Parada de Máquina
PATÍO DE CARVÃO - PROGAMADA - ADEQUAÇÃO ELETRICA VESTIARIO OPERAÇÃO  - JONATHAN,patio de carvao - progamada - adequacao eletrica vestiario operacao  - jonathan,,Manutenção/Inspeção/Teste de Máquina
"PATÍO DE CARVÃO - PRONTIDÃO, NORMALIZAR SR205 - JONATHAN","patio de carvao - prontidao, normalizar sr205 - jonathan",,Parada de Máquina
NR33 primeiro dia,nr33 primeiro dia,,Não Classificado
NR33 segundo dia,nr33 segundo dia,,Não Classificado
GAT/ Grupo de Apoio Tecnico,gat/ grupo de apoio tecnico,,Não Classificado
NR13 OPERAÇÃO SEGURANÇA EM UNIDADES DE PROCESSOS,nr13 operacao seguranca em unidades de processos,,Manutenção/Inspeção/Teste de Máquina
NR13 Segurança em Operação de Caldeiras,nr13 seguranca em operacao de caldeiras,,Manutenção/Inspeção/Teste de Máquina
NR13 Segurança em Operação de Caldeiras - 1° Parte,nr13 seguranca em operacao de caldeiras - 1deg parte,,Manutenção/Inspeção/Teste de Máquina
NR13 Segurança em Operação de Caldeiras - 2° Parte,nr13 seguranca em operacao de caldeiras - 2deg parte,,Manutenção/Inspeção/Teste de Máquina
NR13 Segurança em Operação de Caldeiras - 3° Parte,nr13 seguranca em operacao de caldeiras - 3deg parte,,Manutenção/Inspeção/Teste de Máquina
NR13 Segurança em Operação de Caldeiras - 4° Parte,nr13 seguranca em operacao de caldeiras - 4deg parte,,Manutenção/Inspeção/Teste de Máquina
NR13 Segurança em Operação de Caldeiras - 5° Parte,nr13 seguranca em operacao de caldeiras - 5deg parte,,Manutenção/Inspeção/Teste de Máquina
Hora extra para suprir falecimento de parente do operador!,hora extra para suprir falecimento de parente do operador!,,Substituição de Colaborador
NR11- Operação de Equipamentos Móveis Diversos,nr11- operacao de equipamentos moveis diversos,,Não Classificado
Subistituindo Weslei,subistituindo weslei,,Substituição de Colaborador
O ônibus não passou na área.,o onibus nao passou na area.,,Outros Eventos Externos
SINERGIA - LTQ - TROCA DE CILINDRO HIDRÁULICO.,sinergia - ltq - troca de cilindro hidraulico.,,Manutenção/Inspeção/Teste de Máquina
HORAS REFERENTES AOS DIAS 23 E 25 DE MARÇO DE 2024.,horas referentes aos dias 23 e 25 de marco de 2024.,,Não Classificado
AF 01 - CADINHO - DECAPAGEM.,af 01 - cadinho - decapagem.,,Manutenção/Inspeção/Teste de Máquina
TRATAM. ANOMALIAS / DECAPAGEM / AUX. PLANEJAMENTO.,tratam. anomalias / decapagem / aux. planejamento.,,Não Classificado
SERVIÇO CADINHO - INTERLIGAÇÃO DO NOVO SIST. DE REFRIGERAÇÃO DA SOLEIRA.,servico cadinho - interligacao do novo sist. de refrigeracao da soleira.,,Manutenção/Inspeção/Teste de Máquina
PREPARAÇÃO RMS / PLANEJAMENTO / ESTOQUE AVANÇADO GE.,preparacao rms / planejamento / estoque avancado ge.,,Não Classificado
"AUXÍLIO PLANEJAMENTO - NOTAS/ORDENS, ESTOQUE AVANÇADO.","auxilio planejamento - notas/ordens, estoque avancado.",,Não Classificado
ATENDIMENTO BICO SPRAY INBA2 - AF02.,atendimento bico spray inba2 - af02.,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO CORREIA E FILTRO - INBA02 - AF02.,atendimento correia e filtro - inba02 - af02.,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO SINERGIA - ACIARIA - IRUT.,atendimento sinergia - aciaria - irut.,,Não Classificado
PREVENTIVA DA COQUE 4,preventiva da coque 4,,Manutenção/Inspeção/Teste de Máquina
RETIRADA DE EXCESSO DE MATERIAL NA CTP,retirada de excesso de material na ctp,,Manutenção/Inspeção/Teste de Máquina
parda af03,parda af03,,Parada de Máquina
montagem da tremonha 17,montagem da tremonha 17,,Manutenção/Inspeção/Teste de Máquina
troca da anti calha pv04,troca da anti calha pv04,,Manutenção/Inspeção/Teste de Máquina
grande reparo da sinter,grande reparo da sinter,,Manutenção/Inspeção/Teste de Máquina
troca da caixa de recebimento da pv06,troca da caixa de recebimento da pv06,,Manutenção/Inspeção/Teste de Máquina
organização e limpeza de area,organizacao e limpeza de area,,Outros Eventos Externos
troca do tambor de acionamento da FM03,troca do tambor de acionamento da fm03,,Manutenção/Inspeção/Teste de Máquina
a disposição operacional,a disposicao operacional,,Não Classificado
atendimeto a operaçao,atendimeto a operacao,,Não Classificado
montagem de base para cavalete na fc02,montagem de base para cavalete na fc02,,Manutenção/Inspeção/Teste de Máquina
Hora Extra letra B,hora extra letra b,,Não Classificado
Hora extra letra D (Eddy),hora extra letra d (eddy),,Não Classificado
Hora extra letra C (Júlio),hora extra letra c (julio),,Não Classificado
Hora extra Letra C (atestado Ranye),hora extra letra c (atestado ranye),,Substituição de Colaborador
"troca com douglas no dia 05 das 18 às 06, porém teve paralisação na portaria atrasando a saída.","troca com douglas no dia 05 das 18 as 06, porem teve paralisacao na portaria atrasando a saida.",,Substituição de Colaborador
PROXIMITY COM NOVOS EMPREGADOS - ICC,proximity com novos empregados - icc,,Substituição de Colaborador
"Eleições minicipais, 1º turno, 2024","eleicoes minicipais, 1o turno, 2024",,Outros Eventos Externos
Válvulas Industriais de Processo,valvulas industriais de processo,,Manutenção/Inspeção/Teste de Máquina
Cobrindo férias de operador.,cobrindo ferias de operador.,,Substituição de Colaborador
Cobrir operador de férias na letra A.,cobrir operador de ferias na letra a.,,Substituição de Colaborador
RMSA - Letra C e D,rmsa - letra c e d,,Não Classificado
Atendendo hora extra da letra C.,atendendo hora extra da letra c.,,Não Classificado
Reinicio de operação AF1,reinicio de operacao af1,,Parada de Máquina
"Letra A, suprindo efetivo de trabalho.","letra a, suprindo efetivo de trabalho.",,Substituição de Colaborador
Calibração Balança 17,calibracao balanca 17,,Manutenção/Inspeção/Teste de Máquina
"Manobra sala elétrica 1, 2 e fabril","manobra sala eletrica 1, 2 e fabril",,Manutenção/Inspeção/Teste de Máquina
APOIO NA OPERAÇÃO GUIA DE COQUE 2 LETRA D,apoio na operacao guia de coque 2 letra d,,Manutenção/Inspeção/Teste de Máquina
APOIO OPERACIOAL LETRA B,apoio operacioal letra b,,Não Classificado
Troca de turno (assembléia ACT),troca de turno (assembleia act),,Outros Eventos Externos
apoio operação,apoio operacao,,Não Classificado
Bloqueio dos acesso na empresa.,bloqueio dos acesso na empresa.,,Outros Eventos Externos
Troca das rodas superiores da grade do guia 2,troca das rodas superiores da grade do guia 2,,Manutenção/Inspeção/Teste de Máquina
Preparação troca cilindro Bleeder,preparacao troca cilindro bleeder,,Manutenção/Inspeção/Teste de Máquina
Troca do cilindro do bleeder,troca do cilindro do bleeder,,Manutenção/Inspeção/Teste de Máquina
montar tomada de ar comprimido bateria 04,montar tomada de ar comprimido bateria 04,,Manutenção/Inspeção/Teste de Máquina
Confeccionar e instalar chapas de piso da caixa de fumaça da bateria 2,confeccionar e instalar chapas de piso da caixa de fumaca da bateria 2,,Manutenção/Inspeção/Teste de Máquina
Troca da ponta da barra niveladora MD1,troca da ponta da barra niveladora md1,,Manutenção/Inspeção/Teste de Máquina
Troca do cilindro COG bateria 1,troca do cilindro cog bateria 1,,Manutenção/Inspeção/Teste de Máquina
"Ajuste no poste do barramento, próximo ao forno 157","ajuste no poste do barramento, proximo ao forno 157",,Manutenção/Inspeção/Teste de Máquina
Troca da junta telescópio n° 5,troca da junta telescopio ndeg 5,,Manutenção/Inspeção/Teste de Máquina
Trocar rodas da caçamba,trocar rodas da cacamba,,Manutenção/Inspeção/Teste de Máquina
Emprestimo ICCM (Mancais e acionamento das correias),emprestimo iccm (mancais e acionamento das correias),,Manutenção/Inspeção/Teste de Máquina
troca do redutor truck 3 da md1,troca do redutor truck 3 da md1,,Manutenção/Inspeção/Teste de Máquina
troca da bomba p002,troca da bomba p002,,Manutenção/Inspeção/Teste de Máquina
Reestabelercer loc3,reestabelercer loc3,,Parada de Máquina
Troca da bomba p006,troca da bomba p006,,Manutenção/Inspeção/Teste de Máquina
Retirar pinhão do redutor loc 02,retirar pinhao do redutor loc 02,,Manutenção/Inspeção/Teste de Máquina
Alinhamento do motor truck 2 MD3,alinhamento do motor truck 2 md3,,Manutenção/Inspeção/Teste de Máquina
Restabelecer fixação dos redutores trans loc 3,restabelecer fixacao dos redutores trans loc 3,,Manutenção/Inspeção/Teste de Máquina
Instalar barreira fisica CDQ,instalar barreira fisica cdq,,Manutenção/Inspeção/Teste de Máquina
Troca da igrejinha MD 2,troca da igrejinha md 2,,Manutenção/Inspeção/Teste de Máquina
Preparação alinhamento da viga pescadora,preparacao alinhamento da viga pescadora,,Manutenção/Inspeção/Teste de Máquina
Desempeno e alinhamento da pista de translação,desempeno e alinhamento da pista de translacao,,Manutenção/Inspeção/Teste de Máquina
Troca de cabo ponte 1,troca de cabo ponte 1,,Manutenção/Inspeção/Teste de Máquina
Balanciamento MF 101,balanciamento mf 101,,Não Classificado
Troca do torpedo MF101,troca do torpedo mf101,,Manutenção/Inspeção/Teste de Máquina
Boca de carga 101,boca de carga 101,,Parada de Máquina
Troca da roda da caçamba,troca da roda da cacamba,,Manutenção/Inspeção/Teste de Máquina
Troca da pista da extratora MD1,troca da pista da extratora md1,,Manutenção/Inspeção/Teste de Máquina
Troca da bomba P001,troca da bomba p001,,Manutenção/Inspeção/Teste de Máquina
Reparo banheiro feminino,reparo banheiro feminino,,Manutenção/Inspeção/Teste de Máquina
Troca do tamor de freio ponte 1,troca do tamor de freio ponte 1,,Manutenção/Inspeção/Teste de Máquina
Reparo tubulação unidade 101,reparo tubulacao unidade 101,,Manutenção/Inspeção/Teste de Máquina
Balanciamento CC5,balanciamento cc5,,Manutenção/Inspeção/Teste de Máquina
Troca e alinhamento bomba P301,troca e alinhamento bomba p301,,Manutenção/Inspeção/Teste de Máquina
Troca do cilindro tilt,troca do cilindro tilt,,Manutenção/Inspeção/Teste de Máquina
Troca da ponta da barra md 2,troca da ponta da barra md 2,,Manutenção/Inspeção/Teste de Máquina
Troca da bomba P005,troca da bomba p005,,Manutenção/Inspeção/Teste de Máquina
Abrir janela de visita unidade 101,abrir janela de visita unidade 101,,Não Classificado
Atividade barramento loc´s,atividade barramento loc's,,Não Classificado
Instalar exaustor QC 401,instalar exaustor qc 401,,Manutenção/Inspeção/Teste de Máquina
Troca cabo de aço da ponte 2,troca cabo de aco da ponte 2,,Manutenção/Inspeção/Teste de Máquina
Troca posicionador PV 2,troca posicionador pv 2,,Manutenção/Inspeção/Teste de Máquina
apoio a troca da tremonha,apoio a troca da tremonha,,Manutenção/Inspeção/Teste de Máquina
instalação de painel de iluminação,instalacao de painel de iluminacao,,Manutenção/Inspeção/Teste de Máquina
Preparação dos suportes e eletroduto para o motor da peneira de coque 02.,preparacao dos suportes e eletroduto para o motor da peneira de coque 02.,,Manutenção/Inspeção/Teste de Máquina
Atendimento a equipe mecanica no desbloqueio da peneira,atendimento a equipe mecanica no desbloqueio da peneira,,Manutenção/Inspeção/Teste de Máquina
Montagem de eletroduto no painel da talha de coque,montagem de eletroduto no painel da talha de coque,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento Forno 1,acompanhamento forno 1,,Manutenção/Inspeção/Teste de Máquina
Apoio a equipe do turno Letra C,apoio a equipe do turno letra c,,Substituição de Colaborador
Manobras SE01 e SE02,manobras se01 e se02,,Não Classificado
ATUAÇÃO NO MCC6,atuacao no mcc6,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO A PRONTIDÃO.,atendimento a prontidao.,,Não Classificado
INSTALAÇÃO DO NOBREAK NA LOCOMOTIVA 01.,instalacao do nobreak na locomotiva 01.,,Manutenção/Inspeção/Teste de Máquina
BLOQUEIO DA PONTE 01,bloqueio da ponte 01,,Parada de Máquina
INSTALAÇÃO DO NOBREAK NA  MD 01,instalacao do nobreak na  md 01,,Manutenção/Inspeção/Teste de Máquina
atendimento ao cc6 na atividade com filipe tominy no bandejamento.,atendimento ao cc6 na atividade com filipe tominy no bandejamento.,,Não Classificado
identificação dos circuitos do painel de iluminação do patio.,identificacao dos circuitos do painel de iluminacao do patio.,,Manutenção/Inspeção/Teste de Máquina
atendimento ao CC4 caixa de ligação do conjunto 4,atendimento ao cc4 caixa de ligacao do conjunto 4,,Manutenção/Inspeção/Teste de Máquina
"MELHORIA( ESTALAÇÃO DOS SENSORES DE RECONHECIMENTO DE APORTAO ABERTO , (SEGURANÇA)","melhoria( estalacao dos sensores de reconhecimento de aportao aberto , (seguranca)",,Manutenção/Inspeção/Teste de Máquina
PASSAGEM DE CABO DE COMUNIÇÃO NA SALA ELETRICA CWQ,passagem de cabo de comunicao na sala eletrica cwq,,Manutenção/Inspeção/Teste de Máquina
troca da placa de controle da soft starte,troca da placa de controle da soft starte,,Manutenção/Inspeção/Teste de Máquina
"desbloqueio da ponte 02,apos retira da maquina do ar condicionado.","desbloqueio da ponte 02,apos retira da maquina do ar condicionado.",,Parada de Máquina
"md03 troca da sapata de aterramento, e instalação de duas iluminarias.","md03 troca da sapata de aterramento, e instalacao de duas iluminarias.",,Manutenção/Inspeção/Teste de Máquina
troca do inverso da MD01,troca do inverso da md01,,Manutenção/Inspeção/Teste de Máquina
"PREPARAÇÃO DE MATERIAL,DRAIVER DA PONTE 02","preparacao de material,draiver da ponte 02",,Manutenção/Inspeção/Teste de Máquina
troca dos driver da ponte 02 de elevação.,troca dos driver da ponte 02 de elevacao.,,Manutenção/Inspeção/Teste de Máquina
"PONTE 01,AJUSTE NOS ENCONDER, DE TRANSLAÇÃO E IRÇAMENTO.","ponte 01,ajuste nos enconder, de translacao e ircamento.",,Manutenção/Inspeção/Teste de Máquina
"ponte 02, encoder da roda louca.","ponte 02, encoder da roda louca.",,Parada de Máquina
atendimento de falha no MF101,atendimento de falha no mf101,,Parada de Máquina
atividade no barramento locomotiva.,atividade no barramento locomotiva.,,Não Classificado
atendimento a atividade no barramento.,atendimento a atividade no barramento.,,Não Classificado
atendimento a atividade no MF 101.,atendimento a atividade no mf 101.,,Não Classificado
"PONTE 02 TROCA DOS DRIVES,DA PONTE, DE IÇAMENTO DA PONTE .","ponte 02 troca dos drives,da ponte, de icamento da ponte .",,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO A PONTE 02 TROCA DO ENCODER E INVERSOR DE TRANSLAÇÃO .,atendimento a ponte 02 troca do encoder e inversor de translacao .,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO AO BLOQUEIO.,atendimento ao bloqueio.,,Manutenção/Inspeção/Teste de Máquina
